MP.name,Nature.of.membership,Start.of.term,End.of.term,State,Constituency,Political.party,Gender,Educational.qualifications,Educational.qualifications...details,Age,Debates,Private.Member.Bills,Questions,Attendance,Notes,National.Debates.average,National.Private.Member.Bills.average,National.Questions.average,National.Attendance.average,State.s.Debates.average,State.s.Private.Member.Bills..average,State.s.Questions.average,State.s.Attendance.average,Minister,MajorCriminal,Category,Immoveable,Moveable,MOV,Entitlement,Released,AvailablewInterest,Recommended,Sanctioned,Expenditure,ExpenditureReleasedPerc,Unspent
Feroze Varun Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",33,2,2,641,63%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,32100000,17100000,0.3360897,19,19.06,19.9,244.41,19.68,19.9,104.39,0
Francisco Sardinha,Elected,18-May-09,In office,Goa,South Goa,Indian National Congress,Male,Graduate,"B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",67,13,1,287,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.5,0.5,214,88%,0,0,GEN,20500000,5991400,0.046021499,19,16.5,17.42,17.12,17.03,16.4,99.39,1.02
G.V. Harsha Kumar,Elected,18-May-09,In office,Andhra Pradesh,Amalapuram,Indian National Congress,Male,Post Graduate,"M.Sc. (Marine Geology); Educated at Andhra University, Waljair, Andhra Pradesh",54,3,0,34,77%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,SC,6600000,639000,0.039076399,19,19,21.31,19.79,19.19,16.98,89.37,4.33
Gaddam Vivekanand,Elected,18-May-09,In office,Andhra Pradesh,Peddapalle,Indian National Congress,Male,Graduate,"M.B.B.S.; Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",56,11,0,57,69%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,SC,4.9E+08,2.4E+08,0.054217301,19,19,20.53,19.87,19.83,19.12,100.63,1.41
Gajanan Dharmshi Babar,Elected,18-May-09,In office,Maharashtra,Maval,Shiv Sena,Male,Under Matric,,70,24,0,1176,73%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,58300000,9531434,0.1123428,19,19.35,21.27,21.36,21.05,21.02,108.61,0.25
Gajendra Singh Rajukhedi,Elected,18-May-09,In office,Madhya Pradesh,Dhar,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh",49,2,0,125,86%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,ST,NA,423983,0.0040642,19,19.03,19.58,19.58,19.58,18,94.57,1.58
Ganesh Singh,Elected,18-May-09,In office,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",51,145,0,620,82%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,1,GEN,2475000,6597032,0.006698,19,19.03,19.85,22.29,19.54,19.3,101.39,0.55
Gangasandra Siddappa Basavaraj,Elected,18-May-09,In office,Karnataka,Tumkur,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",72,2,2,161,70%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,NA,2078219,0.0238335,19,17.11,17.54,20.05,20.05,14.71,85.99,2.83
Ghansyam Anuragi,Elected,18-May-09,In office,Uttar Pradesh,Jalaun,Samajwadi Party,Male,Post Graduate,"M.A. (Acharya), LL.B. (2nd year); Educated at Sampoornanad Sanskrit Vishwavidyalaya, Varanasi and Bundel Khand University, Jhansi, Uttar Pradesh",41,52,0,304,90%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,SC,2650000,2715842,0.0143045,19,19.06,19.75,22.62,19.76,19.75,103.61,0
Girija Vyas,Elected,18-May-09,In office,Rajasthan,Chittorgarh,Indian National Congress,Female,Doctorate,"M.A., Ph.D.; Educated at University of Udaipur (Rajasthan) and in U.S.A.",67,22,0,16,90%,"This MP was appointed a minister in Jun, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",33.6,0.8,265,76%,46.4,1,268,88%,1,0,GEN,3E+06,5901353,0.091567703,19,19,19.35,19.61,19.02,18.52,97.47,0.83
Gobinda Chandra Naskar,Elected,18-May-09,In office,West Bengal,Bongaon,All India Trinamool Congress,Male,Post Graduate,"M.A., B.T.; Educated at Jadavpur University (JU) ",72,8,0,1,83%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,SC,365700,1499314,0.086090699,19,20.14,21.71,30.36,22.1,21.3,105.74,0.41
Gopal Singh Shekhawat,Elected,18-May-09,In office,Rajasthan,Rajsamand,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Rajasthan University",63,25,0,115,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,2374250,1861816,0.077650502,19,19,19.33,19.66,17.2,14.33,75.42,5
Gorakh Prasad Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Deoria,Bahujan Samaj Party,Male,Matric,"Educated at Town Hindi High School, Golaghat, Assam",75,37,0,722,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,15100000,5332602,0.0583895,19,19.06,19.72,16.95,16.9,15.88,83.3,3.84
Goraknath Pandey,Elected,18-May-09,In office,Uttar Pradesh,Bhadohi,Bahujan Samaj Party,Male,Post Graduate,"M.A., B.Ed.; Educated at Gyanpur P.G. College, Bhadohi, Agra University, Uttar Pradesh",62,97,0,139,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,NA,2008813,0.0196801,19,19.06,19.57,21.63,16.63,15.46,81.1,4.11
Govind Prasad Mishra,Elected,18-May-09,In office,Madhya Pradesh,Sidhi,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. & D.C.E.; Educated at A.P.S. University, Reva (Madhya Pradesh) and; Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",64,41,0,176,95%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,4500000,687424,0.067681998,19,19.03,24.21,25.17,23.61,21.38,112.32,2.83
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-09,In office,Karnataka,Davanagere,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",61,15,0,888,57%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,NA,NA,0.0022309,19,19.61,20.26,20.27,19.92,19.85,101.24,0.41
Gurudas Dasgupta,Elected,18-May-09,In office,West Bengal,Ghatal,Communist Party of India,Male,Post Graduate,"M. Com; Educated at Asutosh College, Calcutta and; University College of Arts & Commerce, Calcutta",77,94,0,505,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,650000,3743393,0.12580539,19,20.14,22.92,21.56,21.49,22.92,113.79,0
Gurudas Kamat,Elected,18-May-09,In office,Maharashtra,Mumbai-North-West,Indian National Congress,Male,Post Graduate,"B.Com., LL.B., M.B.A.; Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai, Maharashtra",59,0,0,0,87%,"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,7.5,0.5,146,74%,1,0,GEN,2.6E+07,8E+07,0.054285299,19,19.35,21.41,21.33,20.78,17.18,88.77,4.23
H.D. Devegowda,Elected,18-May-09,In office,Karnataka,Hassan,Janata Dal (Secular),Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",80,28,0,0,59%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,GEN,13300000,6318662,0.29694861,19,19.61,20.74,20.19,20.07,19.23,98.08,1.51
Hamdullah Sayeed,Elected,18-May-09,In office,Lakshadweep,Lakshadweep,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at Indian Law Society, Pune",31,36,2,631,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,36,2,631,78%,0,0,ST,NA,591624,0.055648401,19,17.5,24.74,46.48,30.75,23.04,131.66,1.7
Hansraj Gangaram Ahir,Elected,18-May-09,In office,Maharashtra,Chandrapur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",59,114,31,1005,72%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,1,GEN,2254000,10700000,0.0361652,19,19.35,20.78,30.81,20.77,20.78,107.37,0
Hari Manjhi,Elected,18-May-09,In office,Bihar,Gaya,Bharatiya Janata Party,Male,Under Matric,,51,18,0,128,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,SC,1097000,372040,0.1106964,19,19.48,21.16,51.49,18.91,21.16,108.65,-0.01
Haribhau Madhav Jawale,Elected,18-May-09,In office,Maharashtra,Raver,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at M.J. College, Jalgaon, Maharashtra",60,53,1,404,81%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,5344500,2784881,0.039191298,19,19.35,20.78,30.51,20.54,20.18,104.27,0.6
Harin Pathak,Elected,18-May-09,In office,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Graduate,"B.A., B.Ed.; Educated at Gujarat University, Ahmedabad (Gujarat) ",66,34,0,374,83%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,1,GEN,5552300,2515887,0.1440541,19,19.08,20,28.65,20.37,18.85,98.81,1.15
Harischandra Deoram Chavan,Elected,18-May-09,In office,Maharashtra,Dindori,Bharatiya Janata Party,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",62,8,0,791,79%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,ST,NA,NA,0.054791301,19,19.35,20.67,21.21,20.66,18.11,93.57,2.56
Harish Choudhary,Elected,18-May-09,In office,Rajasthan,Barmer,Indian National Congress,Male,Post Graduate,"M.A. (Economics); Educated at Jai Narayanvyas University, Jodhpur, Rajasthan",43,54,0,648,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,672500,5081349,0.1516889,19,19,19.71,19,17.44,17.94,94.42,1.77
Harish Rawat,Elected,18-May-09,In office,Uttarakhand,Hardwar,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Lucknow University, Uttar Pradesh",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,3450000,8375334,0.16169789,19,19,19.62,19.63,19.51,19.38,102,0.24
Harsh Vardhan,Elected,18-May-09,In office,Uttar Pradesh,Maharajganj,Indian National Congress,Male,Graduate,"B.A.; Educated at Lucknow University , Uttar Pradesh",66,54,0,448,77%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,21100000,9E+05,0.1473154,19,19.06,19.27,16.94,16.94,14.88,78.06,4.39
Harsimrat Kaur Badal,Elected,18-May-09,In office,Punjab,Bathinda,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,47,34,0,276,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,23.8,0.7,170,78%,0,0,GEN,NA,NA,0.1153833,19,19,19.7,22.74,19.64,19.7,103.68,0
Hassan Khan,Elected,18-May-09,In office,Jammu and Kashmir,Ladakh,Independent,Male,Graduate,"B.A.; Educated at Kashmir University, Srinagar, Jammu & Kashmir",74,16,0,54,91%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%,0,0,GEN,2500000,1565000,0.033620801,19,22,22.05,19.37,19.12,18.7,85,3.35
Hemanand Biswal,Elected,18-May-09,In office,Orissa,Sundargarh,Indian National Congress,Male,Inter/ Higher Secondary,,74,14,0,339,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,ST,3E+05,2750787,0.0151602,19,19,20.33,21.55,20.14,20.14,106,0.19
Hukamdeo Narayan Yadav,Elected,18-May-09,In office,Bihar,Madhubani,Bharatiya Janata Party,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",74,82,0,304,95%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,15800000,2012429,0.0178365,19,19.48,20.71,28.57,19.8,20.7,106.29,0.01
Ijyaraj Singh,Elected,18-May-09,In office,Rajasthan,Kota,Indian National Congress,Male,Post Graduate,"MBA (Marketing), B.Sc. (Computer Science); Educated at Columbia Business School, Columbia University, New York, U.S.A. and Brown University Providence, Rhode Island, U.S.A.",49,48,0,519,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,1.67E+08,8961144,0.1218719,19,19,19.47,19.1,17.66,14.56,76.63,4.91
Inder Singh Namdhari,Elected,18-May-09,In office,Jharkhand,Chatra,Independent,Male,Graduate,"B.E. (Telecommunication); Educated at BIT, Sindri, Jharkhand",71,21,2,182,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%,0,0,SC,17600000,3246207,0.0341346,19,19.14,19.26,16.61,16.61,14.64,76.48,4.62
Inderjit Singh Rao,Elected,18-May-09,In office,Haryana,Gurgaon,Indian National Congress,Male,Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",64,2,0,10,80%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,46600000,20800000,0.1122189,19,19,19.48,28.58,19.13,19.13,100.68,0.35
Ismail Hussain,Elected,18-May-09,In office,Assam,Barpeta,Indian National Congress,Male,Post Graduate,"M.A.; Educated at B.H. College, Howli, Barpeta, Assam and Gauwhati University, Assam",63,0,0,0,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,GEN,8260000,1592023,0.033766098,19,19,19.44,19.41,19.41,19.05,100.26,0.39
J. Shantha,Elected,18-May-09,In office,Karnataka,Bellary,Bharatiya Janata Party,Female,Inter/ Higher Secondary,,40,12,0,516,55%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,ST,2500000,44100000,0.0026055,19,17.11,18.38,20.2,20.2,15.82,92.48,2.56
J.M. Aaron Rashid,Elected,18-May-09,In office,Tamil Nadu,Theni,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu",63,61,0,376,68%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%,0,0,GEN,NA,NA,0.0078723,19,19.03,19.57,18.93,18.6,19.57,102.86,0
Jadhav Baliram Sukur,Elected,18-May-09,In office,Maharashtra,Palghar,Bahujan Vikas Aaghadi,Male,Under Matric,,57,16,0,316,94%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,ST,830000,1569057,0.0168717,19,19.35,20.87,20.53,20.53,20.11,103.91,0.76
Jadhav Prataprao Ganpatrao,Elected,18-May-09,In office,Maharashtra,Buldhana,Shiv Sena,Male,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",53,19,0,511,64%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%,0,0,GEN,7850000,5352820,0.032911599,19,19.35,21.59,20.76,20.76,19.28,99.62,2.31
Jagada Nand Singh,Elected,18-May-09,In office,Bihar,Buxar,Rashtriya Janata Dal,Male,Graduate,"B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi",71,83,0,464,95%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,1199000,5500,0.0035888,19,19.48,21.01,19.9,19.55,21,107.83,0.01
Jagdambika Pal,Elected,18-May-09,In office,Uttar Pradesh,Domariyaganj,Indian National Congress,Male,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",63,191,4,223,92%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,NA,9381787,0.104047,19,19.06,19.7,19.69,19.73,19.73,103.5,-0.03
Jagdish Singh Rana,Elected,18-May-09,In office,Uttar Pradesh,Saharanpur,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh",59,15,0,236,87%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,0,GEN,24500000,2360977,0.1033622,19,19.06,19.63,19.53,19.53,19.37,101.61,0.26
Jagdish Thakor,Elected,18-May-09,In office,Gujarat,Patan,Indian National Congress,Male,Matric,"Educated at N.S. Vidyalaya, Naroda, Gujarat",56,17,0,306,59%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,2025000,2334298,0.0292236,19,19.08,20.69,20.79,20.58,20.42,107.04,0.27
Jai Prakash Agarwal,Elected,18-May-09,In office,Delhi,North East Delhi,Indian National Congress,Male,Graduate,"B.A.; Educated at Hansraj College, Delhi",69,85,23,898,98%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,32,5.6,296,84%,0,0,GEN,23500000,6747875,0.2531518,19,15.5,19.85,39.88,20.58,19.56,126.19,0.29
Jainarain Prasad Nishad,Elected,18-May-09,In office,Bihar,Muzaffarpur,Janata Dal (United),Male,Inter/ Higher Secondary,"Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh) ",83,8,0,115,80%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%,0,0,GEN,14900000,269831,0.076886401,19,19.48,21.76,23.78,19.86,21.76,111.73,-0.01
Jaipal Sudini Reddy,Elected,18-May-09,In office,Andhra Pradesh,Chelvella,Indian National Congress,Male,Post Graduate,"M.A. (English), B.J.; Educated at Osmania University, Hyderabad, Andhra Pradesh",72,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,5.5E+07,1200333,0.017080201,19,19,21.12,19.32,19.19,21.12,111.16,0
Janardhana Swamy,Elected,18-May-09,In office,Karnataka,Chitradurga,Bharatiya Janata Party,Male,Post Graduate,"M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka",45,5,0,5,59%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%,0,0,SC,1.6E+07,6836000,0.16217691,19,19.61,20.82,23.28,20.25,19.83,101.14,0.99
Jaswant Singh,Elected,18-May-09,In office,West Bengal,Darjeeling,Bharatiya Janata Party,Male,Graduate,"B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun",76,18,0,0,78%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%,0,0,GEN,1.12E+08,6954601,0.26210329,19,20.14,21.47,20.43,19.79,18.27,90.7,3.2
Jayant Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Mathura,Rashtriya Lok Dal,Male,Post Graduate,"M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science",35,45,2,180,83%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%,0,1,GEN,11900000,22800000,0.2334682,19,19.06,19.67,21.17,19.58,19.67,103.19,0
Jayaram Pangi,Elected,18-May-09,In office,Orissa,Koraput,Biju Janata Dal,Male,Inter/ Higher Secondary,"Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda",58,4,0,227,65%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%,0,0,ST,4962800,1219872,0.126853,19,16.5,17.06,25.44,16.83,16.11,97.64,0.95
Jayshreeben Kanubhai Patel,Elected,18-May-09,In office,Gujarat,Mehesana,Bharatiya Janata Party,Female,Matric,,54,132,1,515,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%,0,0,GEN,2750000,626155,0.031566199,19,19.08,20.2,21.77,20.19,20.19,105.83,0.01
Jeetendra Singh Bundela,Elected,18-May-09,In office,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh",55,58,0,392,89%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,GEN,8631000,2568532,0.048590001,19,19.03,19.6,22.33,19.08,16.9,88.79,2.7
Jhansi Botcha Lakshmi,Elected,18-May-09,In office,Andhra Pradesh,Vizianagaram,Indian National Congress,Female,Doctorate,"M.A. (Philosophy), Ph.D.",49,146,2,377,88%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%,0,0,GEN,18400000,5698364,0.059393499,19,19,19.87,19.83,19.83,19.2,101.05,0.67
Jitender Singh Malik,Elected,18-May-09,In office,Haryana,Sonipat,Indian National Congress,Male,Graduate,"B.A., LL.B.",44,12,0,64,74%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.1,0.1,231,69%,0,0,GEN,1,2276080,0.2264404,19,19,19.54,19.46,19.51,19.54,102.84,0
Jitendra Singh,Elected,18-May-09,In office,Rajasthan,Alwar,Indian National Congress,Male,Graduate,"B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie",42,0,0,0,77%,"This MP was appointed a minister in Jul, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",15.9,0.4,119,76%,17.5,0.5,106,88%,1,0,GEN,54600000,52900000,0.2053497,19,19,19.42,21.05,18.9,17.91,94.21,1.52
Jitin Prasada,Elected,18-May-09,In office,Uttar Pradesh,Dhaurahra,Indian National Congress,Male,Post Graduate,"M.B.A.; Educated at Sri Ram College of Commerce, Delhi and IMI, Delhi",40,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.Â  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,GEN,21600000,11100000,0.2429246,19,19.06,19.81,19.91,19.59,19.59,102.77,0.22
Jose K. Mani,Elected,18-May-09,In office,Kerala,Kottayam,Kerala Congress (M),Male,Post Graduate,"B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",48,65,0,574,84%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%,0,0,GEN,6993850,2657879,0.088596404,19,19.6,20.94,21.44,20.28,20.94,106.84,0
Joseph Toppo,Elected,18-May-09,In office,Assam,Tezpur,Asom Gana Parishad,Male,Inter/ Higher Secondary,"H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati",59,21,0,147,76%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%,0,0,GEN,630000,306292,0.035768099,19,19,20.41,19,17.87,16.57,87.21,3.84
Jyoti Dhurve,Elected,18-May-09,In office,Madhya Pradesh,Betul,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",47,74,0,373,83%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%,0,0,ST,4115000,3020000,0.1528807,19,19.03,20.46,21.06,18.97,18.97,99.66,1.49
Jyoti Mirdha,Elected,18-May-09,In office,Rajasthan,Nagaur,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ",41,26,0,58,93%,(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%,0,0,GEN,32100000,6968305,0.2543734,19,19,19.19,21.13,18.99,16.53,87,2.66
